
#ScanTableParameter1
&kV=40	&mA=40
&ScanAxis=M	&ScanMode=Stepscan	
&Start=10.000	&End=120.000	&Step=0.01000	&Time=4.0	&Counts=0
&Speed=0.1	&Area=0.0	&Accu=1
&NoAxis=5
&Axis=O	&Task=GetPosition	&Pos=20.66900	&Ampl=0.000	&Speed=0.0
&Axis=T	&Task=GetPosition	&Pos=21.00600	&Ampl=0.000	&Speed=0.0
&Axis=C	&Task=GetPosition	&Pos=-9.00000	&Ampl=0.000	&Speed=0.0
&Axis=P	&Task=GetPosition	&Pos=0.00000	&Ampl=0.000	&Speed=0.0
&Axis=AC	&Task=GetPosition	&Pos=1.00000	&Ampl=0.000	&Speed=0.0

#Values1
&NoValues=11001
  14.50000	    34.000	
  14.51000	    37.500	
  14.52000	    33.500	
  14.53000	    30.500	
  14.54000	    33.500	
  14.55000	    28.750	
  14.56000	    32.000	
  14.57000	    35.500	
  14.58000	    35.500	
  14.59000	    35.000	
  14.60000	    30.750	
  14.61000	    31.250	
  14.62000	    31.750	
  14.63000	    32.250	
  14.64000	    34.500	
  14.65000	    31.500	
  14.66000	    31.750	
  14.67000	    31.750	
  14.68000	    33.750	
  14.69000	    32.000	
  14.70000	    33.500	
  14.71000	    37.000	
  14.72000	    29.750	
  14.73000	    35.000	
  14.74000	    31.000	
  14.75000	    31.000	
  14.76000	    36.000	
  14.77000	    29.500	
  14.78000	    33.500	
  14.79000	    35.000	
  14.80000	    31.000	
  14.81000	    35.500	
  14.82000	    31.500	
  14.83000	    33.250	
  14.84000	    34.250	
  14.85000	    36.250	
  14.86000	    28.500	
  14.87000	    32.500	
  14.88000	    34.000	
  14.89000	    28.500	
  14.90000	    29.500	
  14.91000	    36.000	
  14.92000	    30.000	
  14.93000	    37.000	
  14.94000	    29.500	
  14.95000	    34.750	
  14.96000	    28.500	
  14.97000	    35.750	
  14.98000	    32.500	
  14.99000	    29.000	
  15.00000	    27.250	
  15.01000	    35.250	
  15.02000	    28.750	
  15.03000	    31.750	
  15.04000	    31.500	
  15.05000	    37.250	
  15.06000	    30.500	
  15.07000	    32.250	
  15.08000	    27.000	
  15.09000	    28.250	
  15.10000	    33.250	
  15.11000	    31.000	
  15.12000	    31.500	
  15.13000	    33.750	
  15.14000	    37.250	
  15.15000	    30.500	
  15.16000	    29.750	
  15.17000	    31.250	
  15.18000	    25.500	
  15.19000	    26.750	
  15.20000	    28.750	
  15.21000	    33.750	
  15.22000	    32.000	
  15.23000	    29.000	
  15.24000	    31.250	
  15.25000	    29.500	
  15.26000	    29.000	
  15.27000	    32.500	
  15.28000	    31.000	
  15.29000	    30.750	
  15.30000	    33.500	
  15.31000	    31.750	
  15.32000	    29.000	
  15.33000	    31.500	
  15.34000	    32.250	
  15.35000	    35.250	
  15.36000	    31.750	
  15.37000	    28.750	
  15.38000	    30.000	
  15.39000	    31.250	
  15.40000	    29.250	
  15.41000	    29.000	
  15.42000	    34.250	
  15.43000	    34.750	
  15.44000	    26.750	
  15.45000	    30.000	
  15.46000	    34.000	
  15.47000	    33.750	
  15.48000	    32.500	
  15.49000	    28.250	
  15.50000	    30.000	
  15.51000	    33.750	
  15.52000	    26.750	
  15.53000	    29.000	
  15.54000	    28.000	
  15.55000	    28.500	
  15.56000	    34.250	
  15.57000	    28.500	
  15.58000	    33.250	
  15.59000	    27.000	
  15.60000	    25.750	
  15.61000	    29.000	
  15.62000	    27.250	
  15.63000	    28.500	
  15.64000	    35.000	
  15.65000	    23.750	
  15.66000	    31.750	
  15.67000	    30.500	
  15.68000	    29.750	
  15.69000	    25.750	
  15.70000	    33.000	
  15.71000	    30.250	
  15.72000	    30.750	
  15.73000	    30.250	
  15.74000	    29.250	
  15.75000	    24.000	
  15.76000	    28.750	
  15.77000	    28.500	
  15.78000	    28.000	
  15.79000	    33.000	
  15.80000	    26.500	
  15.81000	    31.500	
  15.82000	    29.750	
  15.83000	    24.500	
  15.84000	    30.000	
  15.85000	    29.500	
  15.86000	    27.500	
  15.87000	    33.000	
  15.88000	    23.500	
  15.89000	    30.000	
  15.90000	    29.000	
  15.91000	    33.000	
  15.92000	    26.000	
  15.93000	    29.500	
  15.94000	    29.250	
  15.95000	    22.500	
  15.96000	    30.500	
  15.97000	    28.250	
  15.98000	    31.000	
  15.99000	    23.500	
  16.00000	    25.750	
  16.01000	    24.000	
  16.02000	    24.750	
  16.03000	    24.750	
  16.04000	    28.250	
  16.05000	    28.250	
  16.06000	    27.250	
  16.07000	    33.500	
  16.08000	    27.750	
  16.09000	    23.750	
  16.10000	    25.500	
  16.11000	    22.250	
  16.12000	    28.000	
  16.13000	    23.250	
  16.14000	    31.000	
  16.15000	    27.000	
  16.16000	    23.500	
  16.17000	    30.250	
  16.18000	    28.250	
  16.19000	    30.750	
  16.20000	    22.000	
  16.21000	    26.000	
  16.22000	    26.500	
  16.23000	    27.500	
  16.24000	    29.000	
  16.25000	    25.000	
  16.26000	    21.250	
  16.27000	    29.500	
  16.28000	    27.500	
  16.29000	    24.500	
  16.30000	    27.750	
  16.31000	    27.500	
  16.32000	    26.500	
  16.33000	    28.000	
  16.34000	    25.250	
  16.35000	    25.750	
  16.36000	    30.250	
  16.37000	    26.750	
  16.38000	    26.750	
  16.39000	    27.750	
  16.40000	    28.000	
  16.41000	    26.250	
  16.42000	    25.250	
  16.43000	    27.250	
  16.44000	    28.000	
  16.45000	    27.500	
  16.46000	    24.500	
  16.47000	    27.000	
  16.48000	    28.500	
  16.49000	    27.000	
  16.50000	    25.750	
  16.51000	    26.250	
  16.52000	    28.750	
  16.53000	    25.250	
  16.54000	    24.250	
  16.55000	    25.250	
  16.56000	    29.000	
  16.57000	    26.500	
  16.58000	    21.000	
  16.59000	    22.750	
  16.60000	    26.000	
  16.61000	    24.000	
  16.62000	    25.750	
  16.63000	    26.250	
  16.64000	    26.500	
  16.65000	    26.000	
  16.66000	    21.000	
  16.67000	    30.000	
  16.68000	    26.500	
  16.69000	    21.500	
  16.70000	    25.500	
  16.71000	    28.750	
  16.72000	    29.500	
  16.73000	    28.250	
  16.74000	    24.250	
  16.75000	    29.250	
  16.76000	    28.000	
  16.77000	    29.000	
  16.78000	    28.500	
  16.79000	    30.000	
  16.80000	    25.750	
  16.81000	    30.250	
  16.82000	    23.000	
  16.83000	    26.000	
  16.84000	    22.750	
  16.85000	    28.750	
  16.86000	    24.000	
  16.87000	    26.500	
  16.88000	    26.000	
  16.89000	    24.750	
  16.90000	    27.750	
  16.91000	    28.000	
  16.92000	    23.500	
